CMDLINE /home/alfredo/.cache/pypoetry/virtualenvs/db-sicredi-BphEo1On-py3.11/bin/python script/worst_performance/question2.py
MEM 22.285156 1713396034.4219
MEM 22.285156 1713396034.5220
MEM 22.285156 1713396034.6222
MEM 22.285156 1713396034.7225
MEM 22.285156 1713396034.8226
MEM 22.285156 1713396034.9228
MEM 22.285156 1713396035.0230
MEM 22.285156 1713396035.1231
MEM 22.285156 1713396035.2233
MEM 22.285156 1713396035.3234
MEM 22.285156 1713396035.4235
MEM 22.285156 1713396035.5236
MEM 22.285156 1713396035.6238
MEM 22.285156 1713396035.7240
MEM 22.285156 1713396035.8242
MEM 22.285156 1713396035.9243
MEM 22.285156 1713396036.0244
MEM 22.285156 1713396036.1246
MEM 22.285156 1713396036.2248
MEM 22.285156 1713396036.3251
MEM 22.285156 1713396036.4253
MEM 22.285156 1713396036.5254
MEM 22.285156 1713396036.6256
MEM 22.285156 1713396036.7259
MEM 22.285156 1713396036.8261
MEM 22.285156 1713396036.9263
MEM 22.285156 1713396037.0265
MEM 22.285156 1713396037.1267
MEM 22.285156 1713396037.2270
MEM 22.285156 1713396037.3272
MEM 22.285156 1713396037.4274
MEM 22.285156 1713396037.5276
MEM 22.285156 1713396037.6278
MEM 22.285156 1713396037.7280
MEM 22.285156 1713396037.8282
MEM 22.285156 1713396037.9284
MEM 22.285156 1713396038.0286
MEM 22.285156 1713396038.1288
MEM 22.285156 1713396038.2290
MEM 22.285156 1713396038.3291
MEM 22.285156 1713396038.4293
MEM 22.285156 1713396038.5295
MEM 22.285156 1713396038.6297
MEM 22.285156 1713396038.7298
MEM 22.285156 1713396038.8300
MEM 22.285156 1713396038.9302
MEM 22.285156 1713396039.0304
MEM 22.285156 1713396039.1306
MEM 22.285156 1713396039.2308
MEM 22.285156 1713396039.3310
MEM 22.285156 1713396039.4312
MEM 22.285156 1713396039.5314
MEM 22.285156 1713396039.6316
MEM 22.285156 1713396039.7317
MEM 22.285156 1713396039.8320
MEM 22.285156 1713396039.9322
MEM 22.285156 1713396040.0323
MEM 22.285156 1713396040.1326
MEM 22.285156 1713396040.2328
MEM 22.285156 1713396040.3330
MEM 22.285156 1713396040.4332
MEM 22.285156 1713396040.5333
MEM 22.285156 1713396040.6335
MEM 22.285156 1713396040.7337
MEM 22.285156 1713396040.8338
MEM 22.285156 1713396040.9341
MEM 22.285156 1713396041.0343
MEM 22.285156 1713396041.1344
MEM 22.285156 1713396041.2346
MEM 22.285156 1713396041.3348
MEM 22.285156 1713396041.4349
MEM 22.285156 1713396041.5351
MEM 22.285156 1713396041.6352
MEM 22.285156 1713396041.7353
MEM 22.285156 1713396041.8355
MEM 22.285156 1713396041.9357
MEM 22.285156 1713396042.0358
MEM 22.285156 1713396042.1360
MEM 22.285156 1713396042.2361
MEM 22.285156 1713396042.3362
MEM 22.285156 1713396042.4364
MEM 22.285156 1713396042.5365
MEM 22.285156 1713396042.6366
MEM 22.285156 1713396042.7367
MEM 22.285156 1713396042.8369
MEM 22.285156 1713396042.9371
MEM 22.285156 1713396043.0373
MEM 22.285156 1713396043.1375
MEM 22.285156 1713396043.2377
MEM 22.285156 1713396043.3378
MEM 22.285156 1713396043.4380
MEM 22.285156 1713396043.5381
MEM 22.285156 1713396043.6383
MEM 22.285156 1713396043.7384
MEM 22.285156 1713396043.8385
MEM 22.285156 1713396043.9387
MEM 22.285156 1713396044.0389
MEM 22.285156 1713396044.1390
MEM 22.285156 1713396044.2392
MEM 22.285156 1713396044.3393
MEM 22.285156 1713396044.4395
MEM 22.285156 1713396044.5396
MEM 22.285156 1713396044.6398
MEM 22.285156 1713396044.7399
MEM 22.285156 1713396044.8400
MEM 22.285156 1713396044.9402
MEM 22.285156 1713396045.0404
MEM 22.285156 1713396045.1406
MEM 22.285156 1713396045.2409
MEM 22.285156 1713396045.3411
MEM 22.285156 1713396045.4412
MEM 22.285156 1713396045.5414
MEM 22.285156 1713396045.6415
MEM 22.285156 1713396045.7416
MEM 22.285156 1713396045.8418
MEM 22.285156 1713396045.9419
MEM 22.285156 1713396046.0420
MEM 22.285156 1713396046.1422
MEM 22.285156 1713396046.2424
MEM 22.285156 1713396046.3426
MEM 22.285156 1713396046.4427
MEM 22.285156 1713396046.5428
MEM 22.285156 1713396046.6430
MEM 22.285156 1713396046.7431
MEM 22.285156 1713396046.8432
MEM 22.285156 1713396046.9434
MEM 22.285156 1713396047.0435
MEM 22.285156 1713396047.1437
MEM 22.285156 1713396047.2439
MEM 22.285156 1713396047.3441
MEM 22.285156 1713396047.4442
MEM 22.285156 1713396047.5444
MEM 22.285156 1713396047.6445
MEM 22.285156 1713396047.7446
MEM 22.285156 1713396047.8448
MEM 22.285156 1713396047.9449
MEM 22.285156 1713396048.0450
MEM 22.285156 1713396048.1452
MEM 22.285156 1713396048.2454
MEM 22.285156 1713396048.3455
MEM 22.285156 1713396048.4457
MEM 22.285156 1713396048.5458
MEM 22.285156 1713396048.6460
MEM 22.285156 1713396048.7462
MEM 22.285156 1713396048.8463
MEM 22.542969 1713396048.9465
MEM 22.800781 1713396049.0466
MEM 22.800781 1713396049.1468
MEM 23.058594 1713396049.2469
MEM 23.316406 1713396049.3472
MEM 23.574219 1713396049.4473
MEM 23.574219 1713396049.5475
MEM 23.832031 1713396049.6477
MEM 23.832031 1713396049.7478
MEM 23.832031 1713396049.8480
MEM 23.832031 1713396049.9481
MEM 23.832031 1713396050.0482
MEM 23.832031 1713396050.1484
MEM 23.832031 1713396050.2485
MEM 23.832031 1713396050.3488
