CMDLINE /home/alfredo/.cache/pypoetry/virtualenvs/db-sicred-BphEo1On-py3.11/bin/python script/worst_performance/question1.py
MEM 28.574219 1713367169.9771
MEM 28.574219 1713367170.0773
MEM 28.574219 1713367170.1776
MEM 28.574219 1713367170.2778
MEM 28.574219 1713367170.3779
MEM 28.574219 1713367170.4781
MEM 28.574219 1713367170.5782
MEM 28.574219 1713367170.6784
MEM 28.574219 1713367170.7786
MEM 28.574219 1713367170.8788
MEM 28.574219 1713367170.9790
MEM 28.574219 1713367171.0791
MEM 28.574219 1713367171.1794
MEM 28.574219 1713367171.2796
MEM 28.574219 1713367171.3798
MEM 28.574219 1713367171.4799
MEM 28.574219 1713367171.5800
MEM 28.574219 1713367171.6802
MEM 28.574219 1713367171.7804
MEM 28.574219 1713367171.8806
MEM 28.574219 1713367171.9808
MEM 28.574219 1713367172.0810
MEM 28.574219 1713367172.1812
MEM 28.574219 1713367172.2814
MEM 28.574219 1713367172.3816
MEM 28.574219 1713367172.4818
MEM 28.574219 1713367172.5820
MEM 28.574219 1713367172.6822
MEM 28.574219 1713367172.7824
MEM 28.574219 1713367172.8826
MEM 28.574219 1713367172.9828
MEM 28.574219 1713367173.0829
MEM 28.574219 1713367173.1831
MEM 28.574219 1713367173.2833
MEM 28.574219 1713367173.3835
MEM 28.574219 1713367173.4836
MEM 28.574219 1713367173.5838
MEM 28.574219 1713367173.6839
MEM 28.574219 1713367173.7841
MEM 28.574219 1713367173.8843
MEM 28.574219 1713367173.9844
MEM 28.574219 1713367174.0845
MEM 28.574219 1713367174.1848
MEM 28.574219 1713367174.2850
MEM 28.574219 1713367174.3852
MEM 28.574219 1713367174.4853
MEM 28.574219 1713367174.5855
MEM 28.574219 1713367174.6856
MEM 28.574219 1713367174.7858
MEM 28.574219 1713367174.8860
MEM 28.574219 1713367174.9861
MEM 28.574219 1713367175.0863
MEM 28.574219 1713367175.1865
MEM 28.574219 1713367175.2866
MEM 28.574219 1713367175.3869
MEM 28.574219 1713367175.4871
MEM 28.574219 1713367175.5872
MEM 28.574219 1713367175.6874
MEM 28.574219 1713367175.7876
MEM 28.574219 1713367175.8878
MEM 28.574219 1713367175.9880
MEM 28.574219 1713367176.0881
MEM 28.574219 1713367176.1883
MEM 28.574219 1713367176.2885
MEM 28.574219 1713367176.3887
MEM 28.574219 1713367176.4889
MEM 28.574219 1713367176.5890
MEM 28.574219 1713367176.6892
MEM 28.574219 1713367176.7894
MEM 28.574219 1713367176.8895
MEM 28.574219 1713367176.9898
MEM 28.574219 1713367177.0900
MEM 28.574219 1713367177.1902
MEM 28.574219 1713367177.2904
MEM 28.574219 1713367177.3906
MEM 28.574219 1713367177.4908
MEM 28.574219 1713367177.5910
MEM 28.574219 1713367177.6912
MEM 28.574219 1713367177.7914
MEM 28.574219 1713367177.8915
MEM 28.574219 1713367177.9916
MEM 28.574219 1713367178.0918
MEM 28.574219 1713367178.1920
MEM 28.574219 1713367178.2921
MEM 28.574219 1713367178.3923
MEM 28.574219 1713367178.4925
MEM 28.574219 1713367178.5927
MEM 28.574219 1713367178.6929
MEM 28.574219 1713367178.7930
MEM 28.574219 1713367178.8932
MEM 28.574219 1713367178.9934
MEM 28.574219 1713367179.0935
MEM 28.574219 1713367179.1937
MEM 28.574219 1713367179.2939
MEM 28.574219 1713367179.3940
MEM 28.574219 1713367179.4942
MEM 28.574219 1713367179.5944
MEM 28.574219 1713367179.6946
MEM 28.574219 1713367179.7947
MEM 28.574219 1713367179.8949
MEM 28.574219 1713367179.9950
MEM 28.574219 1713367180.0952
MEM 28.574219 1713367180.1954
MEM 28.574219 1713367180.2956
MEM 28.574219 1713367180.3958
